Timestamp,	LIGHT,	ORIENTATION_X,	ORIENTATION_Y,	ORIENTATION_Z,	GPS_LAT,	GPS_LONG,	
1511049500,	162,	-14,	-164,	966,	3008.37,	9737.47,	
1511049501,	163,	-13,	-165,	966,	3008.37,	9737.47,	
1511049503,	160,	-16,	-163,	968,	3008.37,	9737.49,	
1511049504,	159,	-14,	-164,	967,	3008.37,	9737.5,	
1511049506,	162,	-13,	-166,	968,	3008.36,	9737.53,	
1511049507,	162,	-15,	-170,	966,	3008.35,	9737.54,	
1511049509,	161,	-14,	-168,	966,	3008.34,	9737.58,	
1511049510,	159,	-14,	-162,	966,	3008.33,	9737.6,	
1511049512,	161,	-14,	-166,	966,	3008.33,	9737.62,	
1511049513,	162,	-14,	-166,	970,	3008.32,	9737.63,	
1511049515,	161,	-15,	-165,	969,	3008.32,	9737.67,	
1511049516,	160,	-14,	-168,	966,	3008.31,	9737.67,	
1511049518,	160,	-16,	-166,	968,	3008.31,	9737.7,	
1511049519,	161,	-14,	-166,	966,	3008.3,	9737.72,	
1511049521,	162,	-14,	-164,	968,	3008.3,	9737.75,	
1511049522,	161,	-18,	-162,	968,	3008.29,	9737.76,	
1511049524,	90,	-16,	-165,	967,	3008.29,	9737.79,	
1511049525,	160,	-15,	-163,	969,	3008.29,	9737.8,	
1511049527,	163,	-22,	-162,	975,	3008.28,	9737.83,	
1511049528,	162,	-12,	-168,	968,	3008.28,	9737.84,	
1511049530,	160,	-13,	-165,	966,	3008.28,	9737.87,	
1511049531,	160,	-15,	-168,	968,	3008.28,	9737.88,	
1511049533,	160,	-14,	-166,	967,	3008.27,	9737.91,	
1511049534,	160,	-13,	-164,	967,	3008.27,	9737.92,	
1511049536,	162,	-15,	-165,	966,	3008.27,	9737.95,	
1511049537,	162,	-15,	-163,	968,	3008.26,	9737.96,	
1511049539,	161,	-13,	-165,	967,	3008.26,	9737.99,	
1511049540,	160,	-15,	-167,	969,	3008.26,	9738,	
1511049542,	159,	-14,	-165,	968,	3008.25,	9738.04,	
1511049543,	129,	-12,	-165,	966,	3008.25,	9738.04,	
1511049545,	163,	-13,	-164,	967,	3008.25,	9738.09,	
1511049546,	163,	-15,	-165,	966,	3008.25,	9738.1,	
1511049548,	160,	-11,	-167,	969,	3008.24,	9738.12,	
1511049549,	160,	-14,	-167,	966,	3008.24,	9738.14,	
1511049551,	162,	-15,	-166,	969,	3008.24,	9738.16,	
1511049552,	163,	-14,	-165,	967,	3008.24,	9738.18,	
1511049554,	161,	-14,	-164,	968,	3008.24,	9738.2,	
1511049555,	160,	-13,	-163,	967,	3008.23,	9738.2,	
1511049557,	161,	-12,	-167,	968,	3008.22,	9738.19,	
1511049558,	163,	-13,	-164,	967,	3008.22,	9738.18,	
1511049560,	162,	-13,	-166,	968,	3008.2,	9738.17,	
1511049561,	160,	-15,	-164,	968,	3008.2,	9738.16,	
1511049563,	161,	-14,	-166,	967,	3008.18,	9738.14,	
1511049564,	161,	-15,	-164,	967,	3008.17,	9738.14,	
1511049566,	163,	-16,	-166,	967,	3008.15,	9738.13,	
1511049567,	162,	-15,	-164,	967,	3008.14,	9738.12,	
1511049569,	160,	-14,	-163,	966,	3008.12,	9738.13,	
1511049570,	161,	-13,	-167,	965,	3008.12,	9738.14,	
1511049572,	163,	-16,	-165,	967,	3008.12,	9738.17,	
1511049573,	163,	-14,	-164,	966,	3008.13,	9738.18,	
1511049575,	162,	-15,	-166,	969,	3008.14,	9738.2,	
1511049576,	161,	-14,	-165,	968,	3008.16,	9738.2,	
1511049578,	163,	-15,	-164,	967,	3008.17,	9738.21,	
1511049579,	163,	-14,	-164,	965,	3008.18,	9738.22,	
1511049581,	162,	-15,	-167,	965,	3008.19,	9738.25,	
1511049582,	161,	-14,	-165,	966,	3008.19,	9738.25,	
1511049584,	161,	-14,	-165,	966,	3008.19,	9738.27,	
1511049585,	163,	-17,	-163,	970,	3008.18,	9738.27,	
1511049587,	164,	-14,	-165,	966,	3008.17,	9738.26,	
1511049588,	163,	-15,	-164,	967,	3008.16,	9738.25,	
1511049590,	160,	-15,	-166,	969,	3008.14,	9738.24,	
1511049591,	160,	-14,	-166,	966,	3008.13,	9738.24,	
1511049593,	162,	-17,	-164,	968,	3008.11,	9738.22,	
1511049594,	163,	-14,	-164,	968,	3008.1,	9738.21,	
1511049596,	160,	-14,	-166,	970,	3008.08,	9738.21,	
1511049597,	160,	-14,	-164,	967,	3008.07,	9738.21,	
1511049599,	161,	-13,	-166,	967,	3008.05,	9738.21,	
1511049600,	162,	-13,	-165,	966,	3008.04,	9738.22,	
1511049602,	162,	-14,	-163,	965,	3008.02,	9738.25,	
1511049603,	160,	-13,	-164,	965,	3008.01,	9738.26,	
1511049605,	160,	-15,	-164,	966,	3008.01,	9738.29,	
1511049606,	162,	-13,	-166,	967,	3008.01,	9738.3,	
1511049608,	162,	-12,	-164,	966,	3008.01,	9738.32,	
1511049609,	162,	-12,	-167,	964,	3008.02,	9738.33,	
1511049611,	161,	-15,	-166,	967,	3008.03,	9738.36,	
1511049612,	160,	-14,	-165,	967,	3008.03,	9738.36,	
1511049614,	163,	-15,	-164,	966,	3008.06,	9738.38,	
1511049615,	163,	-15,	-164,	966,	3008.08,	9738.39,	
1511049617,	160,	-14,	-167,	966,	3008.1,	9738.41,	
1511049618,	160,	-14,	-163,	967,	3008.11,	9738.42,	
1511049620,	162,	-14,	-163,	967,	3008.13,	9738.44,	
1511049621,	162,	-14,	-165,	966,	3008.13,	9738.45,	
1511049623,	162,	-16,	-165,	970,	3008.13,	9738.48,	
1511049624,	161,	-16,	-166,	969,	3008.13,	9738.5,	
1511049626,	159,	-14,	-167,	969,	3008.12,	9738.52,	
1511049627,	160,	-13,	-166,	966,	3008.11,	9738.54,	
1511049629,	161,	-13,	-163,	968,	3008.1,	9738.56,	
1511049630,	162,	-14,	-163,	966,	3008.09,	9738.57,	
1511049632,	162,	-13,	-166,	966,	3008.08,	9738.59,	
1511049633,	162,	-15,	-164,	966,	3008.08,	9738.6,	
1511049635,	161,	-14,	-166,	966,	3008.07,	9738.61,	
1511049636,	161,	-14,	-164,	964,	3008.06,	9738.61,	
1511049638,	160,	-13,	-165,	970,	3008.05,	9738.59,	
1511049639,	159,	-14,	-165,	966,	3008.04,	9738.58,	
1511049641,	160,	-14,	-163,	967,	3008.03,	9738.56,	
1511049642,	160,	-18,	-165,	966,	3008.02,	9738.55,	
1511049644,	161,	-14,	-167,	964,	3008.01,	9738.53,	
1511049645,	162,	-12,	-162,	968,	3008,	9738.52,	
1511049647,	162,	-14,	-164,	968,	3007.98,	9738.49,	
1511049648,	161,	-14,	-164,	965,	3007.97,	9738.48,	
1511049650,	159,	-15,	-163,	967,	3007.96,	9738.45,	
1511049651,	159,	-14,	-167,	970,	3007.95,	9738.44,	
1511049653,	160,	-14,	-164,	968,	3007.94,	9738.43,	
1511049654,	162,	-11,	-166,	968,	3007.93,	9738.42,	
1511049656,	162,	-14,	-166,	966,	3007.91,	9738.39,	
1511049657,	163,	-13,	-162,	968,	3007.91,	9738.39,	
1511049659,	162,	-14,	-167,	968,	3007.89,	9738.36,	
1511049660,	162,	-16,	-168,	968,	3007.88,	9738.34,	
1511049662,	160,	-14,	-164,	967,	3007.86,	9738.31,	
1511049663,	160,	-14,	-166,	969,	3007.85,	9738.3,	
1511049665,	161,	-13,	-162,	968,	3007.83,	9738.27,	
1511049666,	161,	-13,	-164,	965,	3007.83,	9738.27,	
1511049668,	162,	-13,	-165,	966,	3007.81,	9738.24,	
1511049669,	162,	-13,	-165,	967,	3007.81,	9738.24,	
1511049671,	163,	-13,	-167,	966,	3007.8,	9738.23,	
1511049672,	163,	-12,	-166,	966,	3007.8,	9738.22,	
1511049674,	160,	-14,	-166,	968,	3007.8,	9738.21,	
1511049675,	162,	-13,	-164,	965,	3007.8,	9738.21,	
1511049677,	162,	-14,	-166,	970,	3007.81,	9738.2,	
