Time Since Start (5s)	InfluxDB					Grafana					Python				
	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM
27	811032	143428	11268	1.2	15.2	917160	27656	15140	0.2	2.9	16800	13084	6300	1.2	1.4
28	811032	143428	11268	3.2	15.2	917160	27916	15140	2.2	3	16800	13084	6300	1.2	1.4
29	811032	143428	11268	1.2	15.2	917160	27916	15140	0.4	3	16800	13084	6300	1.4	1.4
30	811032	143428	11268	3	15.2	917160	27916	15140	1.4	3	16800	13084	6300	1.4	1.4
31	811032	143428	11268	1.2	15.2	917160	27916	15140	0.2	3	16800	13084	6300	1.2	1.4
32	811032	143888	11268	48.2	15.2	917160	27916	15140	0.4	3	16800	13084	6300	1	1.4
33	811032	143888	11268	1.2	15.2	917160	27916	15140	0.2	3	16800	13084	6300	1.4	1.4
34	811032	143888	11268	3.2	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
35	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
36	811032	143888	11268	5	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
37	811032	143888	11268	1.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
38	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
39	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
40	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
41	811032	143888	11268	1.2	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
42	811032	143888	11268	3.2	15.2	917160	27916	15140	1.8	3	16800	13140	6300	1.4	1.4
43	811032	143888	11268	1.2	15.2	917160	27916	15140	1.2	3	16800	13140	6300	1.2	1.4
44	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
45	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
46	811032	143888	11268	3.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1	1.4
47	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
48	811032	143888	11268	2.8	15.2	917160	27916	15140	0.4	3	16800	13140	6300	0.8	1.4
49	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
50	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
51	811032	143888	11268	1.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
52	811032	143888	11268	3	15.2	917160	27916	15140	1.8	3	16800	13140	6300	1.4	1.4
53	811032	143888	11268	2.6	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
54	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
55	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
56	811032	143888	11268	49.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
57	811032	143888	11268	1.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
58	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
59	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
60	811032	143888	11268	2.8	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1	1.4
61	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
62	811032	143888	11268	3.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
63	811032	143888	11268	1.2	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
64	811032	143888	11268	3.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
65	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
66	811032	143888	11268	2.8	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
67	811032	143888	11268	3.2	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
68	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
69	811032	143888	11268	3	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1	1.4
70	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1	1.4
71	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
72	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
73	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
74	811032	143888	11268	1.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1	1.4
75	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
76	811032	143888	11268	1.4	15.2	917160	27916	15140	1.8	3	16800	13140	6300	1.2	1.4
77	811032	143888	11268	2.6	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
78	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
79	811032	143888	11268	3	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
80	811032	143888	11268	43.9	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
81	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
82	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
83	811032	143888	11268	2.8	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
84	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
85	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
86	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
87	811032	143888	11268	3.2	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
88	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
89	811032	143888	11268	3.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1	1.4
90	811032	143888	11268	2	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
91	811032	143888	11268	3	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
92	811032	143888	11268	1.4	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
93	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
94	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
95	811032	143888	11268	2.8	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
96	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
97	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1	1.4
98	811032	143888	11268	1.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
99	811032	143888	11268	3	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
100	811032	143888	11268	1.4	15.2	917160	27916	15140	1.6	3	16800	13140	6300	1.2	1.4
101	811032	143888	11268	3.4	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.4	1.4
102	811032	143888	11268	1.2	15.2	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
103	811032	143888	11268	2.8	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
104	811032	143888	11268	47.8	15.2	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
105	811032	119720	11268	3	12.7	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
106	811032	119720	11268	2	12.7	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
107	811032	119720	11268	3	12.7	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
108	811032	119720	11268	1.4	12.7	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
109	811032	119720	11268	2.8	12.7	917160	27916	15140	0.2	3	16800	13140	6300	1	1.4
110	811032	119720	11268	1.4	12.7	917160	27916	15140	0.4	3	16800	13140	6300	1.2	1.4
111	811032	119720	11268	2.8	12.7	917160	27916	15140	0.2	3	16800	13140	6300	1.2	1.4
112	811032	119720	11268	1.4	12.7	917160	27916	15140	0.2	3	16800	13140	6300	1.4	1.4
113	811032	119720	11268	3	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
114	811032	119720	11268	1.4	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
115	811032	119720	11268	2.8	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
116	811032	119720	11268	1.4	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1	1.4
117	811032	119720	11268	3	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
118	811032	119720	11268	1.4	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
119	811032	119720	11268	3	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
120	811032	119720	11268	1.4	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
121	811032	119720	11268	3	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
122	811032	119720	11268	1.4	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
123	811032	119720	11268	2.8	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
124	811032	119720	11268	1.4	12.7	917160	26676	15140	1.6	2.8	16800	13140	6300	1.4	1.4
125	811032	119720	11268	3	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
126	811032	119720	11268	1.4	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
127	811032	119720	11268	3	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1	1.4
128	811032	120504	11268	52	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
129	811032	120504	11268	3	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
130	811032	120504	11268	1.4	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
131	811032	120504	11268	3	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
132	811032	120504	11268	1.4	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
133	811032	120504	11268	3	12.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
134	811032	120504	11268	1.2	12.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
135	811032	109912	11268	2.8	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1	1.4
136	811032	109912	11268	1.4	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
137	811032	109912	11268	3	11.6	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
138	811032	109912	11268	1.4	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
139	811032	109912	11268	3	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
140	811032	109912	11268	1.2	11.6	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
141	811032	109912	11268	3.2	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
142	811032	109912	11268	1.4	11.6	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
143	811032	109912	11268	2.6	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
144	811032	109912	11268	1.4	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
145	811032	109912	11268	3	11.6	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
146	811032	109912	11268	1.2	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
147	811032	109912	11268	3	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
148	811032	109912	11268	1.4	11.6	917160	26676	15140	1.8	2.8	16800	13140	6300	1.4	1.4
149	811032	109912	11268	3	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
150	811032	109912	11268	1.4	11.6	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
151	811032	109912	11268	3	11.6	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
152	811032	110156	11268	50.4	11.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
153	811032	110156	11268	2.6	11.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
154	811032	110156	11268	1.4	11.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
155	811032	110156	11268	2.8	11.7	917160	26676	15140	0	2.8	16800	13140	6300	1	1.4
156	811032	110156	11268	1.4	11.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.4	1.4
157	811032	110156	11268	3	11.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
158	811032	110156	11268	1.4	11.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
159	811032	110156	11268	3.6	11.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
160	811032	110156	11268	1.2	11.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
161	811032	110156	11268	3	11.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.4	1.4
162	811032	110156	11268	1.4	11.7	917160	26676	15140	2.4	2.8	16800	13140	6300	1	1.4
163	811032	110156	11268	3	11.7	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
164	811032	110156	11268	1.4	11.7	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
165	811032	108524	11268	2.8	11.5	917160	26676	15140	0.4	2.8	16800	13140	6300	1.4	1.4
166	811032	108524	11268	1.4	11.5	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
167	811032	108524	11268	3	11.5	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
168	811032	108524	11268	1.4	11.5	917160	26676	15140	0.4	2.8	16800	13140	6300	1.4	1.4
169	811032	108524	11268	3	11.5	917160	26676	15140	0.2	2.8	16800	13140	6300	1.2	1.4
170	811032	108524	11268	1.4	11.5	917160	26676	15140	0.4	2.8	16800	13140	6300	1.2	1.4
171	811032	108524	11268	3.6	11.5	917160	26676	15140	0.2	2.8	16800	13140	6300	1.4	1.4
172	811032	108524	11268	1.4	11.5	917160	26676	15140	2	2.8	16800	13140	6300	1	1.4
173	811032	108524	11268	3	11.5	917160	26332	15140	0.2	2.8	16800	13140	6300	1.2	1.4
174	811032	108524	11268	1.4	11.5	917160	26332	15140	0.2	2.8	16800	13140	6300	1.4	1.4
