TIME+	InfluxDB					Grafana				
	VIRT	RES		%CPU	%MEM	VIRT	RES		%CPU	%MEM
50:28.6	810924	74340	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:28.6	810924	74340	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:28.7	810924	74340	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:28.7	810924	74340	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:28.8	810924	74604	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:29.9	810924	74604	11188	21.2	7.9	925480	26780	15212	1.6	2.8
50:30.0	810924	74604	11188	3.4	7.9	925480	26780	15212	0.4	2.8
50:30.1	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:30.2	810924	74604	11188	2	7.9	925480	26780	15212	0.4	2.8
50:30.2	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:30.3	810924	74604	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:30.3	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:30.4	810924	74604	11188	2	7.9	925480	26780	15212	0.4	2.8
50:30.4	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:30.5	810924	74604	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:30.5	810924	74604	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:30.6	810924	74604	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:30.6	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:30.7	810924	74604	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:30.7	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:30.8	810924	74604	11188	2	7.9	925480	26780	15212	0.4	2.8
50:30.8	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:30.9	810924	74604	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:30.9	810924	74604	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:31.0	810924	74604	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:31.0	810924	74604	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:31.1	810924	74604	11188	2.4	7.9	925480	26780	15212	0.2	2.8
50:31.1	810924	74604	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:31.2	810924	74868	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:32.1	810924	74868	11188	17.5	7.9	925480	26780	15212	2	2.8
50:32.5	810924	74868	11188	8.1	7.9	925480	26780	15212	0.4	2.8
50:32.5	810924	74868	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:32.6	810924	74868	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:32.6	810924	74868	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:32.7	810924	74868	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:32.7	810924	74868	11188	0.4	7.9	925480	26780	15212	0.4	2.8
50:32.8	810924	74868	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:32.9	810924	74868	11188	0.4	7.9	925480	26780	15212	0.4	2.8
50:32.9	810924	74868	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:33.0	810924	74868	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:33.0	810924	74868	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:33.1	810924	74868	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:33.2	810924	74868	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:33.2	810924	74868	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:33.3	810924	74868	11188	2	7.9	925480	26780	15212	0.4	2.8
50:33.3	810924	74868	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:33.4	810924	74868	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:33.4	810924	74868	11188	0.4	7.9	925480	26780	15212	0.4	2.8
50:33.5	810924	74868	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:33.5	810924	74868	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:33.6	810924	74868	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:33.6	810924	74868	11188	0.2	7.9	925480	26780	15212	0.4	2.8
50:33.7	810924	75132	11188	2	7.9	925480	26780	15212	0.2	2.8
50:34.5	810924	75132	11188	16.7	7.9	925480	26780	15212	1.8	2.8
50:34.8	810924	75132	11188	6	7.9	925480	26780	15212	0.4	2.8
50:34.8	810924	75132	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:34.9	810924	75132	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:35.0	810924	75132	11188	0.4	7.9	925480	26780	15212	0.2	2.8
50:35.1	810924	75132	11188	1.8	7.9	925480	26780	15212	0.4	2.8
50:35.1	810924	75132	11188	0.2	7.9	925480	26780	15212	0.2	2.8
50:35.1	810924	75132	11188	1.8	7.9	925480	26780	15212	0.2	2.8
50:35.2	810924	75132	11188	0.4	7.9	925480	26684	15212	0.4	2.8
50:35.3	810924	75132	11188	1.8	7.9	925480	26684	15212	0.2	2.8
50:35.3	810924	75132	11188	1.4	7.9	925480	26684	15212	0.4	2.8
50:35.4	810924	75132	11188	0.6	7.9	925480	26684	15212	0.2	2.8
50:35.5	810924	75132	11188	1.8	7.9	925480	26684	15212	0.4	2.8
50:35.5	810924	75132	11188	0.4	7.9	925480	26684	15212	0.2	2.8
50:35.6	810924	75132	11188	1.8	7.9	925480	26684	15212	0.4	2.8
50:35.6	810924	75132	11188	0.2	7.9	925480	26684	15212	0.2	2.8
50:35.7	810924	74412	11188	1.8	7.9	925480	26684	15212	0.4	2.8
50:35.7	810924	74412	11188	0.6	7.9	925480	26684	15212	0.2	2.8
50:35.8	810924	74412	11188	2	7.9	925480	26684	15212	0.4	2.8
50:35.8	810924	74412	11188	0.2	7.9	925480	26684	15212	0.2	2.8
50:35.9	810924	74412	11188	1.8	7.9	925480	26684	15212	0.4	2.8
50:35.9	810924	74412	11188	0.2	7.9	925480	26684	15212	0	2.8
50:36.0	810924	74412	11188	2	7.9	925480	26684	15212	0.4	2.8
50:36.0	810924	74412	11188	0.2	7.9	925480	26684	15212	0.2	2.8
50:37.2	810924	75732	11188	23.6	8	925480	26684	15212	1.8	2.8
50:37.2	810924	75732	11188	0.4	8	925480	26684	15212	0.2	2.8
50:37.3	810924	75732	11188	1.8	8	925480	26684	15212	0.4	2.8
50:37.3	810924	75732	11188	0.4	8	925480	26684	15212	0.2	2.8
50:37.4	810924	75732	11188	1.8	8	925480	26684	15212	0.4	2.8
50:37.4	810924	75732	11188	0.2	8	925480	26684	15212	0.2	2.8
50:37.5	810924	75732	11188	1.8	8	925480	26684	15212	0.4	2.8
50:37.5	810924	75732	11188	0.4	8	925480	26684	15212	0.2	2.8
50:37.6	810924	75732	11188	1.6	8	925480	26684	15212	0.2	2.8
50:37.6	810924	75732	11188	0.4	8	925480	26684	15212	0.4	2.8
50:37.7	810924	75732	11188	1.8	8	925480	26684	15212	0.2	2.8
50:37.7	810924	75732	11188	0.2	8	925480	26684	15212	0.2	2.8
50:37.9	810924	75732	11188	2.2	8	925480	26684	15212	0.6	2.8
50:37.9	810924	75732	11188	0.2	8	925480	26684	15212	2.6	2.8
50:38.0	810924	75732	11188	2	8	925480	26684	15212	0.2	2.8
50:38.0	810924	75732	11188	0.2	8	925480	26684	15212	0.2	2.8
50:38.1	810924	75732	11188	1.8	8	925480	26684	15212	0.4	2.8
50:38.1	810924	75732	11188	0.2	8	925480	26684	15212	0.2	2.8
50:38.2	810924	75996	11188	2	8	925480	26684	15212	0.4	2.8
50:38.2	810924	75996	11188	0.2	8	925480	26684	15212	0.2	2.8
50:38.3	810924	75996	11188	1.8	8	925480	26684	15212	0.2	2.8
50:38.3	810924	75964	11188	0.2	8	925480	26684	15212	0.4	2.8
50:38.4	810924	75964	11188	1.8	8	925480	26944	15212	0.2	2.8
50:38.4	810924	75964	11188	0.4	8	925480	27208	15212	0.4	2.9
50:39.6	810924	75964	11188	24.4	8	925480	27208	15212	1.8	2.9
50:39.6	810924	75964	11188	0.2	8	925480	27208	15212	0.2	2.9
50:39.7	810924	75964	11188	1.8	8	925480	27208	15212	0.4	2.9
50:39.7	810924	75964	11188	0.4	8	925480	27208	15212	0.2	2.9
50:39.8	810924	75964	11188	1.8	8	925480	27208	15212	0.4	2.9
50:39.8	810924	75964	11188	0.2	8	925480	27208	15212	0.2	2.9
