1413741615 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA) AM_bpT(dC)  AM_amT(dC) AM_motT(dC) AM_SOC AM_thr AM_rgn
1413741615 mins   0      0    -37624        0     0      0       0       0       0  
1413741615 maxs   0     37624  37624     37624 37624  37624    37624  37624  37624 
1413741615 attr   N        N      N        N      N     N       N       N       N  
1413741776 162813 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741777 163814 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741778 164821 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741779 165823 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741780 166828 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741781 167832 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741782 168838 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741783 169847 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741784 170850 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741785 171869 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741786 172875 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741787 173876 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741788 174883 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741789 175888 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741790 176896 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741791 177899 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741792 178906 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741793 179914 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741794 180919 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741795 181921 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741796 182924 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741797 183925 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741798 184928 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741799 185931 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741800 186934 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741801 187941 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741802 188949 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741803 189953 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741804 190961 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741805 191969 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741806 192975 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741807 193980 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741808 194984 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741809 195992 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741810 196998 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741812 198002 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741813 199008 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741814 200014 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741815 201018 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741816 202019 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741817 203020 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
