1413747310 utime T(cK) I(cA) V(mV) V_sup(mV) Stat T(cK) I(cA) V(mV) V_sup(mV) Stat
1413747310 mins   0      0     0     0        0     0     0    0      0        0  
1413747310 maxs  32768   32768  32768  32768 32768 32768 32768 32768  32768  32768
1413747310 attr  N        N      N       N     N     N     N     N    N       N 
1413747467 159986 30015 101 13055 23562 1 30060 103 13155 23892 3
1413747468 160988 30015 101 13055 23562 1 30060 103 13155 23892 3
1413747469 161996 30015 101 13055 23562 1 30060 103 13160 23892 3
1413747471 163000 30015 101 13055 23562 1 30060 103 13160 23892 3
1413747472 164006 30015 101 13055 23562 1 30060 103 13160 23892 3
1413747473 165013 30015 101 13060 23562 1 30060 103 13160 23892 3
1413747474 166020 30015 101 13060 23562 1 30060 101 13160 23892 3
1413747475 167025 30015 101 13060 23562 1 30060 103 13160 23892 3
1413747476 168031 30015 101 13060 23562 1 30060 101 13165 23892 3
1413747477 169036 30015 101 13060 23562 1 30060 101 13165 23892 3
1413747478 170043 30015 101 13060 23562 1 30060 103 13165 23892 3
1413747479 171049 30015 101 13065 23562 1 30060 101 13165 23892 3
1413747480 172051 30015 101 13065 23562 1 30060 103 13165 23892 3
1413747481 173052 30015 101 13065 23562 1 30060 101 13165 23892 3
1413747482 174053 30015 101 13065 23562 1 30060 103 13170 23892 3
1413747483 175059 30015 101 13065 23562 1 30060 103 13170 23892 3
1413747484 176063 30015 101 13065 23562 1 30060 101 13170 23892 3
1413747485 177067 30015 101 13065 23551 1 30060 103 13170 23892 3
1413747486 178070 30015 101 13070 23562 1 30060 103 13170 23892 3
1413747487 179073 30015 101 13070 23562 1 30060 103 13170 23892 3
1413747488 180077 30015 101 13070 23562 1 30060 101 13170 23892 3
1413747489 181078 30015 101 13070 23562 1 30060 103 13175 23892 3
1413747490 182085 30015 101 13070 23551 1 30060 103 13175 23892 3
1413747491 183088 30015 101 13070 23562 1 30060 101 13175 23892 3
1413747492 184090 30015 101 13075 23562 1 30060 101 13175 23892 3
1413747493 185096 30015 101 13075 23562 1 30060 101 13175 23892 3
1413747494 186102 30015 101 13075 23562 1 30060 103 13175 23892 3
1413747495 187106 30015 101 13075 23562 1 30060 101 13180 23892 3
1413747496 188107 30015 101 13075 23562 1 30060 103 13180 23892 3
1413747497 189110 30015 101 13075 23562 1 30060 103 13180 23892 3
1413747498 190115 30015 101 13075 23562 1 30060 101 13180 23892 3
1413747499 191122 30015 101 13080 23562 1 30060 101 13180 23892 3
1413747500 192126 30015 101 13080 23562 1 30060 103 13185 23892 3
1413747501 193135 30015 101 13080 23562 1 30060 103 13185 23892 3
1413747502 194143 30015 101 13080 23562 1 30060 101 13185 23892 3
1413747503 195149 30015 101 13080 23562 1 30060 101 13185 23892 3
1413747504 196155 30015 101 13080 23562 1 30060 103 13185 23892 3
1413747505 197161 30015 101 13080 23562 1 30060 101 13185 23892 3
1413747506 198169 30015 101 13085 23562 1 30060 103 13190 23892 3
1413747507 199171 30015 101 13085 23562 1 30060 103 13190 23892 3
1413747508 200177 30015 101 13085 23562 1 30060 101 13190 23892 3
1413747509 201178 30015 101 13085 23562 1 30060 101 13190 23892 3
1413747510 202182 30060 101 13085 23562 1 30060 103 13190 23892 3
1413747511 203184 30015 101 13085 23562 1 30060 101 13190 23892 3
1413747512 204186 30015 101 13090 23562 1 30060 101 13190 23892 3
1413747513 205200 30015 101 13090 23562 1 30060 101 13195 23892 3
1413747514 206204 30015 101 13090 23562 1 30060 101 13195 23892 3
1413747515 207211 30015 101 13090 23562 1 30060 103 13195 23892 3
1413747516 208217 30015 101 13090 23562 1 30060 101 13195 23892 3
1413747517 209218 30015 101 13090 23562 1 30060 103 13195 23892 3
1413747518 210219 30015 101 13090 23562 1 30060 103 13195 23892 3
1413747519 211224 30015 101 13095 23551 1 30060 103 13195 23892 3
1413747520 212232 30015 101 13095 23562 1 30060 101 13195 23892 3
1413747521 213240 30015 101 13095 23562 1 30060 103 13200 23892 3
1413747522 214247 30015 101 13095 23562 1 30060 103 13200 23892 3
1413747523 215251 30015 101 13095 23551 1 30060 103 13200 23892 3
1413747524 216253 30015 101 13095 23562 1 30060 103 13200 23892 3
1413747525 217257 30015 101 13095 23562 1 30060 103 13200 23892 3
1413747526 218258 30015 101 13100 23562 1 30060 103 13200 23892 3
1413747527 219266 30015 101 13095 23562 1 30060 103 13205 23892 3
1413747528 220270 30015 101 13100 23562 1 30060 103 13205 23892 3
1413747529 221279 30015 101 13100 23562 1 30060 103 13205 23892 3
1413747530 222280 30015 101 13100 23562 1 30060 101 13205 23892 3
1413747531 223290 30015 101 13100 23562 1 30060 103 13205 23892 3
1413747532 224291 30060 101 13100 23562 1 30060 103 13205 23892 3
1413747533 225293 30015 101 13105 23562 1 30060 103 13205 23892 3
1413747534 226297 30015 101 13105 23562 1 30060 103 13210 23892 3
1413747535 227301 30015 101 13105 23562 1 30060 103 13210 23892 3
1413747536 228302 30015 101 13105 23562 1 30060 103 13210 23892 3
1413747537 229307 30015 101 13105 23562 1 30060 103 13210 23892 3
1413747538 230312 30015 101 13105 23562 1 30060 103 13210 23892 3
1413747539 231318 30015 101 13105 23551 1 30060 103 13210 23892 3
1413747540 232322 30015 101 13105 23551 1 30060 101 13210 23892 3
1413747541 233327 30015 101 13105 23551 1 30060 103 13210 23892 3
1413747542 234332 30015 101 13110 23562 1 30060 101 13215 23892 3
1413747543 235341 30015 101 13110 23562 1 30060 101 13215 23892 3
1413747544 236342 30015 101 13110 23562 1 30060 101 13215 23892 3
1413747545 237348 30015 101 13110 23551 1 30060 101 13215 23892 3
1413747546 238350 30015 101 13110 23562 1 30060 101 13215 23892 3
1413747547 239354 30015 101 13110 23562 1 30060 101 13215 23892 3
1413747548 240358 30015 101 13115 23562 1 30060 101 13220 23892 3
1413747549 241360 30015 101 13115 23551 1 30060 101 13220 23892 3
1413747550 242362 30015 103 13115 23551 1 30060 101 13220 23892 3
1413747551 243363 30060 101 13115 23551 1 30060 103 13220 23892 3
1413747552 244365 30015 101 13115 23551 1 30060 103 13220 23892 3
1413747553 245368 30015 101 13115 23551 1 30060 103 13220 23892 3
1413747554 246371 30015 101 13115 23551 1 30060 101 13220 23892 3
1413747555 247377 30015 101 13120 23551 1 30060 101 13220 23892 3
1413747556 248383 30015 101 13120 23551 1 30060 101 13225 23892 3
1413747557 249390 30015 101 13120 23551 1 30060 101 13225 23892 3
1413747558 250399 30015 101 13120 23551 1 30060 101 13225 23892 3
1413747559 251403 30015 101 13120 23551 1 30060 101 13225 23892 3
1413747560 252412 30015 101 13120 23551 1 30060 101 13225 23892 3
1413747561 253416 30015 101 13120 23551 1 30060 101 13225 23892 3
1413747562 254421 30060 101 13120 23551 1 30060 103 13225 23892 3
1413747563 255423 30060 101 13120 23551 1 30060 101 13225 23892 3
1413747564 256426 30015 101 13125 23551 1 30060 101 13225 23892 3
1413747565 257429 30015 101 13125 23551 1 30060 101 13230 23892 3
1413747566 258437 30060 101 13125 23551 1 30060 101 13230 23892 3
1413747567 259442 30015 101 13125 23551 1 30060 101 13230 23892 3
1413747568 260448 30060 101 13125 23551 1 30060 101 13230 23892 3
1413747569 261453 30060 101 13125 23551 1 30060 101 13230 23892 3
1413747570 262459 30060 101 13125 23551 1 30060 103 13230 23892 3
1413747571 263463 30060 101 13125 23551 1 30060 101 13230 23892 3
1413747572 264469 30060 101 13130 23551 1 30060 101 13230 23892 3
1413747573 265475 30015 101 13130 23551 1 30060 101 13235 23892 3
1413747574 266476 30060 101 13130 23551 1 30060 103 13235 23892 3
1413747575 267481 30060 101 13130 23551 1 30060 101 13235 23892 3
1413747576 268486 30060 101 13130 23551 1 30060 101 13235 23892 3
1413747577 269493 30060 101 13130 23551 1 30060 101 13235 23892 3
1413747578 270500 30060 101 13130 23551 1 30060 101 13235 23892 3
1413747579 271510 30015 101 13135 23551 1 30060 101 13235 23892 3
1413747580 272516 30015 101 13135 23551 1 30060 101 13235 23892 3
1413747581 273523 30015 101 13135 23551 1 30060 101 13235 23892 3
1413747582 274524 30015 101 13135 23551 1 30060 101 13240 23892 3
1413747583 275529 30015 101 13135 23551 1 30060 103 13240 23892 3
1413747584 276535 30015 101 13135 23551 1 30060 101 13240 23892 3
1413747585 277539 30060 101 13135 23551 1 30060 103 13240 23892 3
1413747586 278545 30060 101 13135 23551 1 30060 101 13240 23892 3
1413747587 279551 30060 101 13140 23551 1 30060 101 13240 23892 3
1413747588 280554 30060 101 13140 23551 1 30060 101 13240 23892 3
1413747589 281558 30060 101 13140 23551 1 30060 101 13245 23892 3
1413747590 282565 30060 101 13140 23551 1 30060 101 13245 23892 3
1413747591 283572 30060 101 13140 23551 1 30060 101 13245 23892 3
1413747592 284578 30015 101 13140 23551 1 30060 101 13245 23892 3
1413747593 285588 30060 101 13140 23551 1 30060 103 13245 23892 3
1413747594 286590 30060 101 13140 23551 1 30060 101 13245 23892 3
1413747595 287596 30015 101 13145 23551 1 30060 101 13245 23892 3
1413747596 288601 30060 101 13145 23551 1 30060 101 13245 23892 3
1413747597 289608 30060 101 13145 23551 1 30060 101 13250 23892 3
1413747598 290618 30060 101 13145 23551 1 30060 101 13250 23892 3
1413747599 291627 30060 101 13145 23551 1 30060 101 13250 23892 3
1413747600 292629 30060 101 13145 23551 1 30060 101 13250 23892 3
1413747601 293643 30060 101 13145 23551 1 30060 101 13250 23892 3
1413747602 294646 30060 101 13145 23551 1 30060 103 13250 23892 3
1413747603 295650 30060 101 13145 23551 1 30060 103 13250 23892 3
1413747604 296655 30060 101 13145 23551 1 30060 101 13250 23892 3
1413747605 297659 30060 101 13150 23551 1 30060 101 13250 23892 3
1413747606 298660 30060 101 13150 23551 1 30060 101 13255 23892 3
1413747607 299663 30060 101 13150 23551 1 30060 101 13255 23892 3
1413747608 300668 30060 101 13150 23551 1 30060 101 13255 23892 3
1413747609 301673 30060 101 13150 23551 1 30060 101 13255 23892 3
1413747610 302680 30060 101 13150 23551 1 30060 101 13255 23892 3
1413747611 303684 30060 101 13150 23551 1 30060 101 13255 23892 3
1413747612 304688 30015 101 13155 23551 1 30060 101 13255 23892 3
1413747613 305691 30060 101 13150 23551 1 30060 101 13260 23892 3
1413747614 306696 30060 101 13155 23551 1 30060 101 13255 23892 3
1413747615 307701 30060 101 13155 23551 1 30060 101 13260 23892 3
1413747616 308702 30060 101 13155 23551 1 30060 101 13260 23892 3
1413747617 309709 30060 101 13155 23551 1 30060 101 13260 23892 3
1413747618 310714 30060 101 13155 23551 1 30060 101 13260 23892 3
1413747619 311719 30060 101 13155 23551 1 30060 101 13260 23892 3
1413747620 312723 30060 101 13155 23551 1 30060 101 13260 23892 3
1413747621 313730 30060 101 13160 23551 1 30060 101 13260 23892 3
1413747622 314735 30060 101 13160 23551 1 30060 101 13260 23892 3
1413747623 315741 30060 101 13160 23551 1 30060 101 13260 23892 3
1413747624 316746 30060 101 13160 23551 1 30060 101 13260 23881 3
1413747625 317747 30060 101 13160 23551 1 30060 101 13265 23892 3
1413747626 318749 30060 101 13160 23551 1 30060 101 13265 23892 3
1413747627 319753 30060 101 13160 23551 1 30060 101 13265 23892 3
1413747628 320754 30060 101 13160 23551 1 30060 101 13265 23892 3
1413747629 321766 30060 101 13165 23551 1 30060 101 13265 23892 3
1413747630 322771 30060 101 13165 23551 1 30060 101 13265 23892 3
1413747631 323774 30060 101 13165 23551 1 30060 101 13265 23892 3
1413747632 324777 30060 101 13165 23551 1 30060 101 13270 23892 3
1413747633 325785 30060 101 13165 23551 1 30060 101 13270 23892 3
1413747634 326786 30060 101 13165 23551 1 30060 101 13270 23892 3
1413747635 327790 30060 101 13165 23551 1 30060 101 13270 23892 3
1413747636 328804 30060 101 13165 23551 1 30060 101 13270 23892 3
1413747637 329808 30060 101 13165 23551 1 30060 103 13270 23892 3
1413747638 330809 30060 101 13170 23551 1 30060 103 13270 23892 3
1413747639 331819 30060 101 13170 23551 1 30060 101 13270 23892 3
1413747640 332821 30060 101 13170 23551 1 30060 101 13270 23892 3
1413747641 333829 30060 101 13170 23551 1 30060 101 13270 23892 3
1413747642 334835 30060 101 13170 23551 1 30060 101 13275 23892 3
1413747643 335840 30060 101 13170 23551 1 30060 103 13275 23892 3
1413747644 336844 30060 101 13170 23551 1 30060 101 13275 23892 3
1413747645 337845 30060 101 13170 23551 1 30060 101 13275 23892 3
1413747646 338847 30060 101 13170 23551 1 30060 103 13275 23892 3
1413747647 339852 30060 101 13175 23551 1 30060 101 13275 23892 3
1413747648 340856 30060 101 13175 23551 1 30060 101 13275 23881 3
1413747649 341860 30060 101 13175 23551 1 30060 101 13275 23892 3
1413747650 342867 30060 101 13175 23551 1 30060 101 13275 23892 3
1413747651 343870 30060 101 13175 23551 1 30060 101 13275 23892 3
1413747652 344873 30060 101 13175 23551 1 30060 101 13280 23881 3
1413747653 345878 30060 101 13175 23551 1 30060 103 13280 23881 3
1413747654 346881 30060 101 13175 23551 1 30060 103 13280 23892 3
1413747655 347884 30060 101 13175 23551 1 30060 103 13280 23892 3
1413747656 348892 30060 101 13175 23551 1 30060 103 13280 23892 3
1413747657 349895 30060 101 13180 23551 1 30060 103 13280 23892 3
1413747658 350901 30060 101 13180 23551 1 30060 103 13280 23881 3
1413747659 351910 30060 101 13180 23551 1 30060 103 13280 23881 3
1413747660 352914 30060 101 13180 23551 1 30060 103 13285 23881 3
1413747661 353920 30060 101 13180 23551 1 30060 103 13285 23881 3
1413747662 354932 30060 101 13180 23551 1 30060 103 13285 23881 3
1413747663 355938 30060 101 13180 23551 1 30060 103 13285 23892 3
1413747664 356944 30060 101 13180 23551 1 30060 103 13285 23892 3
1413747665 357950 30060 101 13185 23551 1 30060 103 13285 23881 3
1413747666 358957 30060 101 13185 23551 1 30060 103 13285 23892 3
1413747667 359965 30060 101 13185 23551 1 30060 103 13285 23892 3
1413747668 360968 30060 101 13185 23551 1 30060 103 13285 23881 3
1413747669 361974 30060 101 13185 23551 1 30060 103 13290 23892 3
1413747670 362980 30060 101 13185 23551 1 30060 101 13290 23881 3
1413747671 363982 30060 101 13185 23551 1 30060 101 13290 23892 3
1413747672 364983 30060 101 13185 23551 1 30060 103 13290 23881 3
1413747673 365992 30060 101 13185 23551 1 30060 103 13290 23892 3
1413747674 366994 30060 101 13190 23551 1 30060 103 13290 23881 3
1413747675 367996 30060 101 13190 23551 1 30060 103 13290 23881 3
1413747677 369003 30060 101 13190 23551 1 30060 103 13290 23881 3
1413747678 370006 30060 101 13190 23551 1 30060 103 13290 23881 3
1413747679 371013 30060 101 13190 23551 1 30060 103 13290 23881 3
1413747680 372014 30060 101 13190 23551 1 30060 103 13295 23881 3
1413747681 373019 30060 101 13190 23551 1 30060 103 13290 23892 3
1413747682 374028 30060 101 13190 23551 1 30060 103 13295 23881 3
1413747683 375034 30060 101 13190 23551 1 30060 103 13295 23881 3
1413747684 376035 30060 101 13195 23551 1 30060 103 13295 23881 3
1413747685 377042 30060 101 13195 23540 1 30060 103 13295 23881 3
1413747686 378047 30060 101 13195 23551 1 30060 103 13295 23892 3
1413747687 379051 30060 101 13195 23551 1 30060 103 13295 23881 3
1413747688 380056 30060 101 13195 23551 1 30060 103 13295 23881 3
1413747689 381061 30060 101 13195 23551 1 30060 101 13295 23881 3
1413747690 382062 30060 101 13195 23551 1 30060 103 13295 23881 3
1413747691 383065 30060 101 13195 23551 1 30060 103 13300 23881 3
1413747692 384066 30060 101 13195 23551 1 30060 103 13300 23881 3
1413747693 385076 30060 101 13200 23551 1 30060 101 13300 23881 3
1413747694 386084 30060 101 13200 23551 1 30060 103 13300 23881 3
1413747695 387091 30060 101 13200 23551 1 30060 103 13300 23881 3
1413747696 388099 30060 101 13200 23551 1 30060 103 13300 23881 3
1413747697 389102 30060 101 13200 23551 1 30060 103 13300 23881 3
1413747698 390116 30060 101 13200 23551 1 30060 103 13300 23881 3
1413747699 391123 30060 101 13200 23551 1 30060 103 13300 23881 3
1413747700 392127 30060 101 13200 23551 1 30060 103 13305 23892 3
1413747701 393128 30060 101 13200 23551 1 30060 103 13305 23881 3
1413747702 394139 30060 101 13200 23551 1 30060 103 13305 23881 3
1413747703 395146 30060 101 13205 23551 1 30060 103 13305 23881 3
1413747704 396147 30060 101 13205 23551 1 30060 103 13305 23881 3
1413747705 397150 30060 101 13205 23551 1 30060 103 13305 23881 3
1413747706 398155 30060 101 13205 23551 1 30060 103 13305 23881 3
1413747707 399158 30060 101 13205 23551 1 30060 103 13305 23881 3
1413747708 400162 30060 101 13205 23551 1 30060 103 13305 23881 3
1413747709 401166 30060 101 13205 23551 1 30060 103 13305 23881 3
1413747710 402171 30060 101 13205 23551 1 30060 103 13305 23881 3
