1413741615 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413741725 111559 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741726 112566 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741727 113574 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741728 114578 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741729 115584 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741730 116587 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741731 117594 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741732 118600 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741733 119607 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741734 120615 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741735 121626 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741736 122627 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741737 123628 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741738 124630 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741739 125636 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741740 126642 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741741 127649 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741742 128652 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741743 129654 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741744 130658 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741745 131666 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741746 132676 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741747 133679 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741748 134683 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741749 135684 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741750 136692 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741751 137697 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741752 138703 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741753 139707 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741754 140712 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741755 141716 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741756 142722 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741757 143730 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741758 144732 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741759 145733 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741760 146736 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741761 147737 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741762 148744 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741763 149753 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741764 150754 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741765 151757 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741766 152762 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741767 153769 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741768 154773 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741769 155780 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741770 156785 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741771 157786 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741772 158792 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741773 159798 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741774 160805 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741775 161810 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
