1413747310 utime BVLR1 OVT1 NOC1 UNDV1 Vin1 Vout1 Iin1 Tamb1 BVLR2 OVT2 NOC2 UNDV2 Vin2 Vout2 Iin2 Tamb2 BVLR3 OVT3 NOC3 UNDV3  Vin3  Vout3 Iin3 Tamb3
1413747310 mins    0    0    0    0     0     0    0     0     0    0    0    0     0     0    0     0     0    0    0    0     0     0      0     0
1413747310 maxs    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000   100
1413747310 attr    L    L    L    L     I     I    I     I     L    L    L    L     I     I    I     I     L    L    L    L     I     I      I     I
1413747393 85620 0 0 0 0 484 589 542 25 0 0 0 0 374 587 552 30 0 0 0 0 359 586 346 30
1413747394 86625 0 0 0 0 480 590 540 30 0 0 0 0 376 587 555 30 0 0 0 0 373 586 340 30
1413747395 87629 0 0 0 0 484 589 533 25 0 0 0 0 390 587 524 30 0 0 0 0 376 585 331 30
1413747396 88636 0 0 0 0 486 589 525 30 0 0 0 0 360 586 562 30 0 0 0 0 388 586 290 30
1413747397 89637 0 0 0 0 498 589 510 30 0 0 0 0 375 586 541 30 0 0 0 0 361 586 342 30
1413747398 90643 0 0 0 0 495 590 518 25 0 0 0 0 375 587 541 25 0 0 0 0 372 586 336 30
1413747399 91655 0 0 0 0 498 589 518 30 0 0 0 0 390 586 520 30 0 0 0 0 371 586 338 30
1413747400 92657 0 0 0 0 486 589 537 30 0 0 0 0 388 588 525 30 0 0 0 0 357 586 345 30
1413747401 93660 0 0 0 0 499 589 521 30 0 0 0 0 374 586 554 30 0 0 0 0 359 586 345 30
1413747402 94670 0 0 0 0 485 590 533 25 0 0 0 0 374 586 552 30 0 0 0 0 372 586 337 30
1413747403 95672 0 0 0 0 499 589 514 25 0 0 0 0 363 587 562 25 0 0 0 0 371 586 337 30
1413747404 96679 0 0 0 0 486 589 527 30 0 0 0 0 361 587 562 30 0 0 0 0 357 587 342 30
1413747405 97683 0 0 0 0 499 589 511 30 0 0 0 0 370 587 548 25 0 0 0 0 358 586 341 30
1413747406 98688 0 0 0 0 497 590 511 30 0 0 0 0 376 587 541 30 0 0 0 0 372 586 332 30
1413747407 99697 0 0 0 0 483 589 522 30 0 0 0 0 385 586 520 30 0 0 0 0 370 586 331 30
1413747408 100702 0 0 0 0 483 589 522 30 0 0 0 0 385 586 520 30 0 0 0 0 370 586 331 30
1413747409 101709 0 0 0 0 498 589 485 25 0 0 0 0 379 586 511 30 0 0 0 0 358 586 331 25
1413747410 102721 0 0 0 0 498 589 485 25 0 0 0 0 379 586 511 30 0 0 0 0 358 586 331 25
1413747411 103725 0 0 0 0 470 589 505 30 0 0 0 0 374 586 509 30 0 0 0 0 373 586 320 30
1413747412 104729 0 0 0 0 483 590 492 25 0 0 0 0 385 586 482 30 0 0 0 0 374 586 310 30
1413747413 105730 0 0 0 0 482 589 493 25 0 0 0 0 389 587 470 30 0 0 0 0 388 585 258 30
1413747414 106731 0 0 0 0 468 589 500 30 0 0 0 0 379 586 485 30 0 0 0 0 386 585 264 30
1413747415 107737 0 0 0 0 468 589 500 30 0 0 0 0 379 586 485 30 0 0 0 0 386 585 264 30
1413747416 108741 0 0 0 0 483 589 479 25 0 0 0 0 363 586 498 25 0 0 0 0 374 586 305 30
1413747417 109748 0 0 0 0 485 589 477 30 0 0 0 0 360 587 502 30 0 0 0 0 387 586 252 30
1413747418 110751 0 0 0 0 498 589 468 30 0 0 0 0 369 587 494 25 0 0 0 0 385 586 259 30
1413747419 111752 0 0 0 0 497 589 483 30 0 0 0 0 376 587 498 30 0 0 0 0 372 587 314 30
1413747420 112754 0 0 0 0 498 589 495 30 0 0 0 0 385 587 495 25 0 0 0 0 371 586 319 30
1413747421 113758 0 0 0 0 498 590 509 30 0 0 0 0 390 587 500 25 0 0 0 0 357 586 330 25
1413747422 114765 0 0 0 0 483 589 533 30 0 0 0 0 368 587 542 25 0 0 0 0 355 586 339 30
1413747423 115772 0 0 0 0 486 589 532 30 0 0 0 0 375 587 542 25 0 0 0 0 341 587 386 30
1413747424 116779 0 0 0 0 499 590 516 25 0 0 0 0 384 587 527 25 0 0 0 0 341 586 389 30
1413747425 117783 0 0 0 0 497 590 516 25 0 0 0 0 390 587 517 30 0 0 0 0 326 586 403 25
1413747426 118788 0 0 0 0 484 590 533 30 0 0 0 0 368 586 550 30 0 0 0 0 324 587 406 30
1413747427 119794 0 0 0 0 485 590 532 30 0 0 0 0 376 587 544 30 0 0 0 0 310 586 458 30
1413747428 120797 0 0 0 0 469 590 547 30 0 0 0 0 384 586 530 30 0 0 0 0 309 587 458 30
1413747429 121798 0 0 0 0 470 590 542 30 0 0 0 0 389 588 517 25 0 0 0 0 295 586 461 30
1413747430 122806 0 0 0 0 483 590 531 25 0 0 0 0 383 587 529 30 0 0 0 0 262 587 537 30
1413747431 123808 0 0 0 0 483 590 529 25 0 0 0 0 374 587 543 25 0 0 0 0 248 586 553 30
1413747432 124809 0 0 0 0 468 590 538 25 0 0 0 0 383 587 527 30 0 0 0 0 278 586 501 30
1413747433 125815 0 0 0 0 470 590 539 30 0 0 0 0 390 587 511 30 0 0 0 0 264 586 531 25
1413747434 126822 0 0 0 0 485 590 531 25 0 0 0 0 384 586 524 30 0 0 0 0 262 587 534 25
1413747435 127829 0 0 0 0 485 589 532 30 0 0 0 0 375 587 544 30 0 0 0 0 249 586 555 25
1413747436 128833 0 0 0 0 499 590 516 30 0 0 0 0 382 587 534 25 0 0 0 0 278 586 505 30
1413747437 129834 0 0 0 0 485 590 537 30 0 0 0 0 389 588 520 25 0 0 0 0 265 587 540 25
1413747438 130840 0 0 0 0 499 590 517 30 0 0 0 0 386 587 530 30 0 0 0 0 262 587 541 30
1413747439 131845 0 0 0 0 498 590 516 30 0 0 0 0 375 587 549 30 0 0 0 0 249 587 560 30
1413747440 132852 0 0 0 0 484 590 532 25 0 0 0 0 379 587 536 25 0 0 0 0 278 587 503 30
1413747441 133857 0 0 0 0 482 590 528 25 0 0 0 0 390 586 513 30 0 0 0 0 264 587 534 30
1413747442 134865 0 0 0 0 468 590 531 30 0 0 0 0 365 587 549 30 0 0 0 0 263 586 529 30
1413747443 135870 0 0 0 0 470 590 517 30 0 0 0 0 375 586 526 30 0 0 0 0 249 587 538 30
1413747444 136875 0 0 0 0 484 590 485 25 0 0 0 0 379 586 503 30 0 0 0 0 251 587 522 30
1413747445 137879 0 0 0 0 483 590 455 30 0 0 0 0 389 587 459 25 0 0 0 0 265 587 482 25
1413747446 138882 0 0 0 0 468 590 427 30 0 0 0 0 385 587 435 25 0 0 0 0 265 586 449 30
1413747447 139886 0 0 0 0 469 589 380 30 0 0 0 0 373 587 412 25 0 0 0 0 278 586 386 30
1413747448 140889 0 0 0 0 482 588 329 30 0 0 0 0 370 585 364 30 0 0 0 0 277 586 345 30
1413747449 141892 0 0 0 0 481 589 289 30 0 0 0 0 356 587 321 30 0 0 0 0 263 585 321 30
1413747450 142902 0 0 0 0 467 589 262 25 0 0 0 0 383 585 265 30 0 0 0 0 261 586 284 25
1413747451 143910 0 0 0 0 466 589 245 25 0 0 0 0 373 585 251 30 0 0 0 0 246 585 262 30
1413747452 144911 0 0 0 0 481 588 231 30 0 0 0 0 376 586 235 25 0 0 0 0 341 585 211 30
1413747453 145916 0 0 0 0 513 588 213 25 0 0 0 0 387 585 218 25 0 0 0 0 355 584 193 30
1413747454 146923 0 0 0 0 513 588 213 25 0 0 0 0 387 585 218 25 0 0 0 0 355 584 193 30
1413747455 147927 0 0 0 0 521 587 208 30 0 0 0 0 383 585 218 30 0 0 0 0 355 586 192 30
1413747456 148945 0 0 0 0 511 588 210 30 0 0 0 0 371 585 228 25 0 0 0 0 340 585 203 30
1413747457 149951 0 0 0 0 482 588 224 30 0 0 0 0 367 585 230 25 0 0 0 0 339 585 203 30
1413747458 150954 0 0 0 0 481 589 224 25 0 0 0 0 358 585 234 30 0 0 0 0 325 585 208 30
1413747459 151957 0 0 0 0 468 588 229 25 0 0 0 0 362 585 233 30 0 0 0 0 326 585 208 30
1413747460 152959 0 0 0 0 466 588 228 30 0 0 0 0 373 585 229 30 0 0 0 0 336 585 204 30
1413747461 153960 0 0 0 0 476 588 225 30 0 0 0 0 376 586 226 25 0 0 0 0 341 585 203 30
1413747462 154967 0 0 0 0 481 588 224 25 0 0 0 0 387 585 216 30 0 0 0 0 351 585 191 25
1413747463 155968 0 0 0 0 470 587 227 30 0 0 0 0 383 585 218 30 0 0 0 0 355 585 188 30
1413747464 156973 0 0 0 0 466 588 230 25 0 0 0 0 372 584 230 30 0 0 0 0 345 585 201 30
1413747465 157981 0 0 0 0 475 588 230 30 0 0 0 0 367 585 233 25 0 0 0 0 339 585 204 30
1413747466 158983 0 0 0 0 482 588 235 25 0 0 0 0 357 585 242 25 0 0 0 0 329 584 209 25
1413747467 159986 0 0 0 0 486 588 238 30 0 0 0 0 385 585 233 30 0 0 0 0 325 585 215 30
1413747468 160988 0 0 0 0 482 588 245 30 0 0 0 0 373 584 250 30 0 0 0 0 334 585 214 30
1413747469 161996 0 0 0 0 491 588 234 25 0 0 0 0 376 586 245 30 0 0 0 0 340 585 212 30
1413747471 163000 0 0 0 0 466 588 237 30 0 0 0 0 386 585 230 30 0 0 0 0 350 585 202 30
1413747472 164006 0 0 0 0 475 588 225 30 0 0 0 0 383 585 222 30 0 0 0 0 355 585 192 30
1413747473 165013 0 0 0 0 527 588 193 25 0 0 0 0 372 585 220 30 0 0 0 0 334 585 198 25
1413747474 166020 0 0 0 0 518 588 193 30 0 0 0 0 376 585 210 25 0 0 0 0 339 585 192 25
1413747475 167025 0 0 0 0 513 588 192 30 0 0 0 0 387 585 197 30 0 0 0 0 382 584 172 30
1413747476 168031 0 0 0 0 506 588 194 25 0 0 0 0 383 585 195 30 0 0 0 0 386 585 170 30
1413747477 169036 0 0 0 0 505 588 193 30 0 0 0 0 372 585 204 30 0 0 0 0 396 585 165 30
1413747478 170043 0 0 0 0 516 588 190 30 0 0 0 0 370 584 205 30 0 0 0 0 401 585 162 30
1413747479 171049 0 0 0 0 520 587 187 30 0 0 0 0 358 585 209 30 0 0 0 0 379 584 170 25
1413747480 172051 0 0 0 0 516 587 189 30 0 0 0 0 359 585 208 25 0 0 0 0 386 584 169 25
1413747481 173052 0 0 0 0 513 588 190 30 0 0 0 0 372 585 203 25 0 0 0 0 396 585 162 25
1413747482 174053 0 0 0 0 515 588 188 30 0 0 0 0 374 585 202 30 0 0 0 0 370 584 173 30
1413747483 175059 0 0 0 0 504 588 191 25 0 0 0 0 387 585 191 30 0 0 0 0 381 584 169 25
1413747484 176063 0 0 0 0 524 588 184 25 0 0 0 0 359 585 206 25 0 0 0 0 386 584 168 25
1413747485 177067 0 0 0 0 511 588 188 25 0 0 0 0 372 585 203 30 0 0 0 0 394 584 162 25
1413747486 178070 0 0 0 0 507 587 189 30 0 0 0 0 370 584 203 30 0 0 0 0 403 585 160 30
1413747487 179073 0 0 0 0 527 588 181 25 0 0 0 0 357 585 205 30 0 0 0 0 393 584 165 30
1413747488 180077 0 0 0 0 516 588 186 30 0 0 0 0 358 584 205 30 0 0 0 0 386 584 166 30
1413747489 181078 0 0 0 0 527 587 181 30 0 0 0 0 372 585 201 30 0 0 0 0 378 584 170 30
1413747490 182085 0 0 0 0 515 588 186 30 0 0 0 0 374 585 200 30 0 0 0 0 371 584 172 30
1413747491 183088 0 0 0 0 520 588 184 30 0 0 0 0 386 585 191 30 0 0 0 0 394 585 162 25
1413747492 184090 0 0 0 0 517 588 185 30 0 0 0 0 358 586 204 30 0 0 0 0 387 585 165 30
1413747493 185096 0 0 0 0 527 588 181 25 0 0 0 0 373 585 202 30 0 0 0 0 394 584 163 30
1413747494 186102 0 0 0 0 491 588 194 30 0 0 0 0 374 585 199 30 0 0 0 0 403 585 158 30
1413747495 187106 0 0 0 0 519 587 184 30 0 0 0 0 387 585 190 30 0 0 0 0 409 584 148 30
1413747496 188107 0 0 0 0 506 587 187 30 0 0 0 0 385 585 193 30 0 0 0 0 387 585 164 30
1413747497 189110 0 0 0 0 513 587 186 30 0 0 0 0 371 585 201 25 0 0 0 0 411 585 145 30
1413747498 190115 0 0 0 0 513 587 186 30 0 0 0 0 371 585 201 25 0 0 0 0 411 585 145 30
