1413747310 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA)
1413747362 54929 -18192 -18703 -19072
1413747363 55185 -18192 -18703 -19072
1413747363 55439 -18192 -18703 -19072
1413747363 55693 -18192 -18703 -19072
1413747363 55951 -18192 -18703 -19072
1413747364 56207 -18192 -18703 -19072
1413747364 56459 -18192 -18703 -19072
1413747364 56716 -18192 -18703 -19072
1413747364 56977 -18192 -18703 -19072
1413747365 57228 -18192 -18703 -19072
1413747365 57482 -18192 -18703 -19072
1413747365 57736 -18192 -18703 -19072
1413747365 57994 -18192 -18703 -19072
1413747366 58250 -18192 -18703 -19072
1413747366 58504 -18192 -18703 -19072
1413747366 58758 -18192 -18703 -19072
1413747367 59010 -18192 -18703 -19072
1413747367 59264 -18192 -18703 -19072
1413747367 59517 -18192 -18703 -19072
1413747367 59770 -18192 -18703 -19072
1413747368 60023 -18192 -18703 -19072
1413747368 60277 -18192 -18703 -19072
1413747368 60536 -18192 -18703 -19072
1413747368 60795 -18192 -18703 -19072
1413747369 61051 -18192 -18703 -19072
1413747369 61309 -18192 -18703 -19072
1413747369 61565 -18192 -18703 -19072
1413747369 61820 -18192 -18703 -19072
1413747370 62074 -18192 -18703 -19072
1413747370 62330 -18192 -18703 -19072
1413747370 62582 -18192 -18703 -19072
1413747370 62837 -18192 -18703 -19072
1413747371 63094 -18192 -18703 -19072
1413747371 63347 -18192 -18703 -19072
1413747371 63598 -18192 -18703 -19072
1413747371 63855 -18192 -18703 -19072
1413747372 64112 -18192 -18703 -19072
1413747372 64368 -18192 -18703 -19072
1413747372 64624 -18192 -18703 -19072
1413747372 64876 -18192 -18703 -19072
1413747373 65128 -18192 -18703 -19072
1413747373 65384 -18192 -18703 -19072
1413747373 65642 -18192 -18703 -19072
1413747373 65898 -18192 -18703 -19072
1413747374 66154 -18192 -18703 -19072
1413747374 66405 -18192 -18703 -19072
1413747374 66656 -18192 -18703 -19072
1413747374 66913 -18192 -18703 -19072
1413747375 67174 -18192 -18703 -19072
1413747375 67426 -18192 -18703 -19072
1413747375 67681 -18192 -18703 -19072
1413747375 67933 -18192 -18703 -19072
1413747376 68184 -18192 -18703 -19072
1413747376 68436 -18192 -18703 -19072
1413747376 68692 -18192 -18703 -19072
1413747376 68946 -18192 -18703 -19072
1413747377 69203 -18192 -18703 -19072
1413747377 69456 -18192 -18703 -19072
1413747377 69711 -18192 -18703 -19072
1413747377 69962 -18192 -18703 -19072
1413747378 70213 -18192 -18703 -19072
1413747378 70465 -18192 -18703 -19072
1413747378 70716 -18192 -18703 -19072
1413747378 70967 -18192 -18703 -19072
1413747379 71224 -18192 -18703 -19072
1413747379 71475 -18192 -18703 -19072
1413747379 71739 -18192 -18703 -19072
1413747379 71990 -18192 -18703 -19072
1413747380 72245 -18192 -18703 -19072
1413747380 72502 -18192 -18703 -19072
1413747380 72753 -18192 -18703 -19072
1413747381 73009 -18192 -18703 -19072
1413747381 73263 -18192 -18703 -19072
1413747381 73515 -18192 -18703 -19072
1413747381 73771 -18192 -18703 -19072
1413747382 74029 -18192 -18703 -19072
1413747382 74286 -18192 -18703 -19072
1413747382 74539 -18192 -18703 -19072
1413747382 74790 -18192 -18703 -19072
1413747383 75044 -18192 -18703 -19072
1413747383 75300 -18192 -18703 -19072
1413747383 75560 -18192 -18703 -19072
1413747383 75814 -18192 -18703 -19072
1413747384 76065 -18192 -18703 -19072
1413747384 76319 -18192 -18703 -19072
1413747384 76570 -18192 -18703 -19072
1413747384 76821 -18192 -18703 -19072
1413747385 77078 -18192 -18703 -19072
1413747385 77335 -18192 -18703 -19072
1413747385 77588 -18192 -18703 -19072
1413747385 77844 -18192 -18703 -19072
1413747386 78099 -18192 -18703 -19072
1413747386 78357 -18192 -18703 -19072
1413747386 78614 -18192 -18703 -19072
1413747386 78872 -18192 -18703 -19072
1413747387 79125 -18192 -18703 -19072
1413747387 79377 -18192 -18703 -19072
1413747387 79629 -18192 -18703 -19072
1413747387 79888 -18192 -18703 -19072
1413747388 80139 -18192 -18703 -19072
1413747388 80397 -18192 -18703 -19072
1413747388 80651 -18192 -18703 -19072
1413747388 80906 -18192 -18703 -19072
1413747389 81157 -18192 -18703 -19072
1413747389 81414 -18192 -18703 -19072
1413747389 81671 -18192 -18703 -19072
1413747389 81926 -18192 -18703 -19072
1413747390 82181 -18192 -18703 -19072
1413747390 82436 -18192 -18703 -19072
1413747390 82692 -18192 -18703 -19072
1413747390 82947 -18192 -18703 -19072
1413747391 83199 -18192 -18703 -19072
1413747391 83450 -18192 -18703 -19072
1413747391 83709 -18192 -18703 -19072
1413747391 83965 -18192 -18703 -19072
1413747392 84219 -18192 -18703 -19072
1413747392 84471 -18192 -18703 -19072
1413747392 84729 -18192 -18703 -19072
1413747392 84988 -18192 -18703 -19072
1413747393 85246 -18192 -18703 -19072
1413747393 85498 -18192 -18703 -19072
1413747393 85749 -18192 -18703 -19072
1413747394 86003 -18192 -18703 -19072
1413747394 86264 -18192 -18703 -19072
1413747394 86519 -18192 -18703 -19072
1413747394 86773 -18192 -18703 -19072
