1413747310 utime volts24 volts12 gappos gapmotor BSChKill MotCont MotPreC ArrCont ArrPreC GapD1 GapIN1 GapIN2 ArrayA ArrayB ArrayC Estop Thren
1413747443 135870 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747444 136875 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747445 137879 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747446 138882 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747447 139886 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747448 140889 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747449 141892 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747450 142902 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747451 143910 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747452 144911 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747453 145916 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747454 146923 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747455 147927 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747456 148945 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747457 149951 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747458 150954 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747459 151957 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747460 152959 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747461 153960 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747462 154967 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747463 155968 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747464 156973 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747465 157981 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747466 158983 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747467 159986 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747468 160988 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747469 161996 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747471 163000 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747472 164006 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747473 165013 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747474 166020 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747475 167025 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747476 168031 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747477 169036 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747478 170043 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747479 171049 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747480 172051 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747481 173052 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747482 174053 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747483 175059 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747484 176063 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747485 177067 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747486 178070 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747487 179073 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747488 180077 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747489 181078 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747490 182085 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747491 183088 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747492 184090 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747493 185096 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747494 186102 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747495 187106 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747496 188107 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747497 189110 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747498 190115 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747499 191122 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747500 192126 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747501 193135 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747502 194143 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747503 195149 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747504 196155 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747505 197161 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747506 198169 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747507 199171 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747508 200177 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747509 201178 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747510 202182 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747511 203184 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747512 204186 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747513 205200 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747514 206204 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747515 207211 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747516 208217 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747517 209218 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747518 210219 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747519 211224 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747520 212232 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747521 213240 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747522 214247 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747523 215251 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747524 216253 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747525 217257 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747526 218258 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747527 219266 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747528 220270 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747529 221279 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747530 222280 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747531 223290 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747532 224291 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747533 225293 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747534 226297 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747535 227301 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747536 228302 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747537 229307 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747538 230312 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747539 231318 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747540 232322 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747541 233327 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747542 234332 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747543 235341 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747544 236342 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747545 237348 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747546 238350 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747547 239354 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747548 240358 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747549 241360 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747550 242362 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747551 243363 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747552 244365 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747553 245368 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747554 246371 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747555 247377 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747556 248383 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747557 249390 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747558 250399 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747559 251403 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747560 252412 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747561 253416 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747562 254421 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747563 255423 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747564 256426 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747565 257429 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747566 258437 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747567 259442 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747568 260448 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747569 261453 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747570 262459 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747571 263463 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747572 264469 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747573 265475 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747574 266476 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747575 267481 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747576 268486 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747577 269493 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747578 270500 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747579 271510 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747580 272516 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747581 273523 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747582 274524 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747583 275529 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747584 276535 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747585 277539 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747586 278545 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747587 279551 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747588 280554 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747589 281558 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747590 282565 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747591 283572 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747592 284578 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747593 285588 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747594 286590 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747595 287596 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747596 288601 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747597 289608 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747598 290618 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747599 291627 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747600 292629 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747601 293643 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747602 294646 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747603 295650 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747604 296655 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747605 297659 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747606 298660 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747607 299663 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747608 300668 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747609 301673 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747610 302680 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747611 303684 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747612 304688 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747613 305691 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747614 306696 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747615 307701 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747616 308702 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747617 309709 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747618 310714 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747619 311719 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747620 312723 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747621 313730 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747622 314735 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
