1413747310 utime  bx(uT) by(uT) bz(uT)  B(uT) ax    ay  az     A     gx   gy    gz   T(C) rate  track tilt roll
1413747310 mins  -1000 -1000 -1000     0    -2000 -2000 -2000  0   -2000  -2000 -2000 -2000  0  0  -180 -180
1413747310 maxs   1000  1000  1000    1000   2000  2000  2000 2000  2000   2000  2000  2000  37000 360 180 180
1413747310 attr     F     F     F      F      F     F    F     F     F      F     F     F     I F F F
1413747397 89637 32.423 26.4224 -1.63846 41.8578 -8.76958 -0.637147 3.30094 9.39189 2.16243 5.40383 -0.694944 42.3922 9 0 0 0
1413747398 90643 32.0211 25.9991 -1.55683 41.2762 -8.75758 -0.647408 3.29025 9.37764 1.39165 3.84204 -1.23367 42.3878 8 0 0 0
1413747399 91655 32.0483 26.2958 -1.74587 41.4923 -8.75977 -0.663744 3.26284 9.37125 2.51018 4.05535 -1.07292 42.3577 8 0 0 0
1413747400 92657 32.3415 26.2593 -1.71599 41.6949 -8.7724 -0.628654 3.29504 9.39188 1.91721 5.89446 -2.64944 42.3752 8 0 0 0
1413747401 93660 32.2681 26.5247 -1.39529 41.794 -8.74521 -0.649904 3.28641 9.36491 2.31373 4.33893 -0.983927 42.4668 8 0 0 0
1413747402 94670 32.3948 26.5265 -1.73138 41.9056 -8.78271 -0.650792 3.29348 9.40248 1.74936 5.05289 -0.170982 42.3946 9 0 0 0
1413747403 95672 32.1643 26.2576 -1.62764 41.553 -8.75372 -0.651227 3.30535 9.37961 2.67423 5.01747 -0.696253 42.4608 7 0 0 0
1413747404 96679 32.519 26.4339 -1.45485 41.9327 -8.7717 -0.634252 3.27912 9.38603 2.18761 4.45635 -2.00258 42.4286 8 0 0 0
1413747405 97683 32.0269 26.1683 -1.5847 41.3886 -8.76011 -0.643214 3.28682 9.3785 1.72804 5.45486 -0.689895 42.502 9 0 0 0
1413747406 98688 32.1803 25.9127 -1.64572 41.3491 -8.7546 -0.647819 3.29965 9.37818 1.74717 5.805 -1.7019 42.4066 7 0 0 0
1413747407 99697 31.8734 25.8859 -2.123 41.1157 -8.76342 -0.650331 3.2889 9.38282 2.41566 5.21529 -1.77456 42.4112 7 0 0 0
1413747408 100702 32.1291 26.1664 -1.24417 41.4549 -8.74247 -0.647424 3.29163 9.36402 2.87466 4.57949 -1.58203 42.4358 7 0 0 0
1413747409 101709 31.7908 26.0101 -1.0738 41.0893 -8.77246 -0.63426 3.28758 9.38971 2.62813 4.2583 -1.17412 42.6016 7 0 0 0
1413747410 102721 32.3922 26.2756 -1.56822 41.7387 -8.75186 -0.643979 3.28226 9.36925 2.43321 4.96627 -2.37453 42.4505 6 0 0 0
1413747411 103725 32.243 26.444 -1.1272 41.7153 -8.7658 -0.651403 3.25478 9.37322 1.88265 4.74417 -0.860225 42.5006 8 0 0 0
1413747412 104729 32.2103 26.475 -1.14741 41.7102 -8.77006 -0.646252 3.28548 9.38754 2.93423 4.20585 -2.02114 42.49 7 0 0 0
1413747413 105730 32.3427 26.1967 -1.37512 41.6438 -8.76504 -0.658473 3.2789 9.3814 2.93251 4.84052 -1.92359 42.4125 9 0 0 0
1413747414 106731 32.1172 26.1614 -1.18825 41.4409 -8.74611 -0.639876 3.27279 9.36029 3.6674 5.85862 -1.33479 42.4433 8 0 0 0
1413747415 107737 32.5407 26.1196 -1.27656 41.7464 -8.76539 -0.636738 3.2511 9.37054 2.44856 4.83506 -1.71958 42.429 5 0 0 0
1413747416 108741 32.3828 26.4519 -1.15673 41.8293 -8.75959 -0.672256 3.30046 9.38485 2.59878 5.91183 -2.04005 42.5264 9 0 0 0
1413747417 109748 32.5286 26.4246 -1.54945 41.9377 -8.78191 -0.65252 3.27847 9.3966 2.25505 5.48741 -0.672303 42.5988 8 0 0 0
1413747418 110751 32.6558 26.2727 -1.53793 41.9407 -8.75912 -0.651591 3.25879 9.36838 2.67031 5.99476 -0.756768 42.5528 9 0 0 0
1413747419 111752 32.4799 26.3348 -1.39912 41.838 -8.75864 -0.633266 3.26739 9.36967 2.62487 4.26897 -2.01625 42.586 8 0 0 0
1413747420 112754 32.3845 26.2838 -1.47262 41.7345 -8.77752 -0.65097 3.26057 9.38616 2.87512 4.66903 -2.12014 42.6594 7 0 0 0
1413747421 113758 32.0211 25.6261 -1.48291 41.0395 -8.75723 -0.632212 3.29378 9.37751 1.74722 5.07004 -1.14335 42.5919 8 0 0 0
1413747422 114765 32.1995 26.3367 -1.40791 41.6223 -8.75415 -0.643616 3.29154 9.37463 2.10305 4.32801 -1.08881 42.5899 9 0 0 0
1413747423 115772 32.3553 25.8943 -1.26548 41.4606 -8.79232 -0.635944 3.28918 9.40893 2.0359 4.35953 -0.165563 42.6207 8 0 0 0
1413747424 116779 32.4065 25.9856 -1.28448 41.5582 -8.75651 -0.663781 3.25011 9.36378 1.94028 5.36912 -1.10152 42.6343 9 0 0 0
